File Path,Language,Project,# Throws,Avg. Max. Generic Throws,Avg. Max. Throws Kitchen Sink,Max. Generic Throws,Max. Throws Kitchen Sink
/home/pavan/Downloads/cassandra/src/java/org/apache/cassandra/auth/CassandraAuthorizer.java,Java,cassandra,26,0,0.625,0,10
/home/pavan/Downloads/cassandra/src/java/org/apache/cassandra/cql3/QueryProcessor.java,Java,cassandra,45,0,0.551724138,0,16
/home/pavan/Downloads/cassandra/src/java/org/apache/cassandra/cql3/statements/SelectStatement.java,Java,cassandra,46,0,0.352941176,0,12
/home/pavan/Downloads/cassandra/src/java/org/apache/cassandra/cql3/statements/AuthorizationStatement.java,Java,cassandra,9,0,0.8,0,4
/home/pavan/Downloads/cassandra/src/java/org/apache/cassandra/cql3/statements/CreateRoleStatement.java,Java,cassandra,6,0,0.5,0,2
/home/pavan/Downloads/cassandra/src/java/org/apache/cassandra/cql3/statements/ListRolesStatement.java,Java,cassandra,9,0,0.8,0,4
/home/pavan/Downloads/cassandra/src/java/org/apache/cassandra/cql3/statements/ListPermissionsStatement.java,Java,cassandra,9,0,0.8,0,4
/home/pavan/Downloads/cassandra/src/java/org/apache/cassandra/cql3/statements/RevokePermissionsStatement.java,Java,cassandra,4,0,1,0,2
/home/pavan/Downloads/cassandra/src/java/org/apache/cassandra/cql3/statements/ModificationStatement.java,Java,cassandra,37,0,0.608695652,0,14
/home/pavan/Downloads/cassandra/src/java/org/apache/cassandra/cql3/statements/GrantRoleStatement.java,Java,cassandra,4,0,1,0,2
/home/pavan/Downloads/cassandra/src/java/org/apache/cassandra/cql3/statements/RevokeRoleStatement.java,Java,cassandra,4,0,1,0,2
/home/pavan/Downloads/cassandra/src/java/org/apache/cassandra/cql3/statements/AlterRoleStatement.java,Java,cassandra,6,0,0.5,0,2
/home/pavan/Downloads/cassandra/src/java/org/apache/cassandra/cql3/statements/AuthenticationStatement.java,Java,cassandra,9,0,0.8,0,4
/home/pavan/Downloads/cassandra/src/java/org/apache/cassandra/cql3/statements/BatchStatement.java,Java,cassandra,45,0,0.8,0,20
/home/pavan/Downloads/cassandra/src/java/org/apache/cassandra/cql3/statements/DropRoleStatement.java,Java,cassandra,6,0,0.5,0,2
/home/pavan/Downloads/cassandra/src/java/org/apache/cassandra/cql3/statements/GrantPermissionsStatement.java,Java,cassandra,4,0,1,0,2
/home/pavan/Downloads/cassandra/src/java/org/apache/cassandra/cql3/QueryHandler.java,Java,cassandra,13,0,0.857142857,0,6
/home/pavan/Downloads/cassandra/src/java/org/apache/cassandra/cql3/CQLStatement.java,Java,cassandra,13,0,0.857142857,0,6
/home/pavan/Downloads/cassandra/src/java/org/apache/cassandra/db/SinglePartitionReadCommand.java,Java,cassandra,4,0,0,0,0
/home/pavan/Downloads/cassandra/src/java/org/apache/cassandra/db/PartitionRangeReadCommand.java,Java,cassandra,3,0,0,0,0
/home/pavan/Downloads/cassandra/src/java/org/apache/cassandra/db/ReadQuery.java,Java,cassandra,2,0,0,0,0
/home/pavan/Downloads/cassandra/src/java/org/apache/cassandra/cql3/CQLFragmentParser.java,Java,cassandra,2,0,0,0,0
