File Path,Project,Distinct count of Issue Key POST,Distinct count of Issue Key PRE,Churn PRE,Distinct count of Author Email PRE,Distinct count of Commit Hash PRE
jmeter/src/components/src/main/java/org/apache/jmeter/control/ThroughputController.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/control/gui/CriticalSectionControllerGui.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/control/gui/ForeachControlPanel.java,Jmeter,0,1,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/control/gui/IncludeControllerGui.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/control/gui/InterleaveControlGui.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/control/gui/ModuleControllerGui.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/control/gui/OnceOnlyControllerGui.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/control/gui/RandomControlGui.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/control/gui/RandomOrderControllerGui.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/control/gui/SwitchControllerGui.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/control/gui/ThroughputControllerGui.java,Jmeter,0,1,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/control/gui/TreeNodeWrapper.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/extractor/BSFPostProcessor.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/extractor/BSFPostProcessorBeanInfo.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/extractor/BeanShellPostProcessor.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/extractor/BeanShellPostProcessorBeanInfo.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/extractor/BoundaryExtractor.java,Jmeter,0,0,37,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/extractor/DebugPostProcessor.java,Jmeter,0,1,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/extractor/DebugPostProcessorBeanInfo.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/extractor/Extractor.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/extractor/HtmlExtractor.java,Jmeter,0,0,2,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/extractor/JSR223PostProcessor.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/extractor/JSR223PostProcessorBeanInfo.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/extractor/JSoupExtractor.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/extractor/JoddExtractor.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/extractor/RegexExtractor.java,Jmeter,0,0,2,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/extractor/XPath2Extractor.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/extractor/XPathExtractor.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/extractor/gui/BoundaryExtractorGui.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/extractor/gui/HtmlExtractorGui.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/extractor/gui/RegexExtractorGui.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/extractor/gui/XPath2ExtractorGui.java,Jmeter,0,1,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/extractor/gui/XPathExtractorGui.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/extractor/json/jmespath/JMESPathCache.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/extractor/json/jmespath/JMESPathExtractor.java,Jmeter,0,0,3,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/extractor/json/jmespath/gui/JMESPathExtractorGui.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/extractor/json/jsonpath/JSONManager.java,Jmeter,0,0,10,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/extractor/json/jsonpath/JSONPostProcessor.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/extractor/json/jsonpath/gui/JSONPostProcessorGui.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/extractor/json/render/AbstractRenderAsJsonRenderer.java,Jmeter,1,0,2,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/extractor/json/render/RenderAsJmesPathRenderer.java,Jmeter,0,0,0,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/extractor/json/render/RenderAsJsonRenderer.java,Jmeter,0,0,1,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/gui/action/ExportTransactionAndSamplerNames.java,Jmeter,0,0,4,1,1
jmeter/src/components/src/main/java/org/apache/jmeter/modifiers/BSFPreProcessor.java,Jmeter,0,0,0,1,1
