File Path,Language,Project,# Throws,Avg. Max. Generic Throws,Avg. Max. Throws Kitchen Sink,Max. Generic Throws,Max. Throws Kitchen Sink
cassandra/src/java/org/apache/cassandra/cql3/statements/SelectStatement.java,Java,Cassandra,46,0,0.352941176,0,12
cassandra/src/java/org/apache/cassandra/cql3/statements/AuthorizationStatement.java,Java,Cassandra,9,0,0.8,0,4
cassandra/src/java/org/apache/cassandra/cql3/statements/CreateRoleStatement.java,Java,Cassandra,6,0,0.5,0,2
cassandra/src/java/org/apache/cassandra/cql3/statements/ListRolesStatement.java,Java,Cassandra,9,0,0.8,0,4
cassandra/src/java/org/apache/cassandra/cql3/statements/ListPermissionsStatement.java,Java,Cassandra,9,0,0.8,0,4
cassandra/src/java/org/apache/cassandra/cql3/statements/RevokePermissionsStatement.java,Java,Cassandra,4,0,1,0,2
cassandra/src/java/org/apache/cassandra/cql3/statements/ModificationStatement.java,Java,Cassandra,37,0,0.608695652,0,14
cassandra/src/java/org/apache/cassandra/cql3/statements/GrantRoleStatement.java,Java,Cassandra,4,0,1,0,2
cassandra/src/java/org/apache/cassandra/cql3/statements/RevokeRoleStatement.java,Java,Cassandra,4,0,1,0,2
cassandra/src/java/org/apache/cassandra/cql3/statements/AlterRoleStatement.java,Java,Cassandra,6,0,0.5,0,2
cassandra/src/java/org/apache/cassandra/cql3/statements/AuthenticationStatement.java,Java,Cassandra,9,0,0.8,0,4
cassandra/src/java/org/apache/cassandra/cql3/statements/BatchStatement.java,Java,Cassandra,45,0,0.8,0,20
cassandra/src/java/org/apache/cassandra/cql3/statements/DropRoleStatement.java,Java,Cassandra,6,0,0.5,0,2
cassandra/src/java/org/apache/cassandra/cql3/statements/GrantPermissionsStatement.java,Java,Cassandra,4,0,1,0,2
cassandra/src/java/org/apache/cassandra/cql3/QueryHandler.java,Java,Cassandra,13,0,0.857142857,0,6
cassandra/src/java/org/apache/cassandra/cql3/CQLStatement.java,Java,Cassandra,13,0,0.857142857,0,6
cassandra/src/java/org/apache/cassandra/db/SinglePartitionReadCommand.java,Java,Cassandra,4,0,0,0,0
cassandra/src/java/org/apache/cassandra/db/PartitionRangeReadCommand.java,Java,Cassandra,3,0,0,0,0
cassandra/src/java/org/apache/cassandra/db/ReadQuery.java,Java,Cassandra,2,0,0,0,0
cassandra/src/java/org/apache/cassandra/cql3/CQLFragmentParser.java,Java,Cassandra,2,0,0,0,0
cassandra/src/java/org/apache/cassandra/thrift/ThriftValidation.java,Java,Cassandra,23,0,0,0,0
cassandra/src/java/org/apache/cassandra/utils/NativeLibraryLinux.java,Java,Cassandra,45,0,0.666666667,0,18
