Kind,Project,Name,File Path,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnSlice.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnSlice.java,2,2,2,1,8,0,7,0,6,3,6,46,44,43,7,46,1,2,0,43,551,77,420,116,230,60,190,291,105,203,8,8,16,8,3,0.14,107,102,117,64
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/Compression.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/Compression.java,1,1,1,1,4,0,3,1,1,1,0,5,3,4,3,5,0,1,0,4,69,8,25,11,9,36,11,15,9,6,3,2,3,1,1,1.44,7,6,7,5
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/ConsistencyLevel.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/ConsistencyLevel.java,3,1,3,1,8,0,6,1,1,1,0,5,3,4,12,5,0,1,0,4,137,8,52,20,27,77,20,24,9,15,12,2,12,1,1,1.48,16,6,16,5
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/CounterColumn.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/CounterColumn.java,2,1,2,1,7,0,7,0,6,3,7,45,43,42,7,45,1,2,0,42,520,76,395,115,217,55,189,278,102,188,8,8,14,8,3,0.14,92,87,99,63
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/CounterSuperColumn.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/CounterSuperColumn.java,2,2,2,1,8,0,7,0,6,3,6,48,46,45,6,48,1,2,0,45,576,79,450,122,241,53,208,313,114,217,8,8,16,8,4,0.12,107,102,117,66
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/CqlMetadata.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/CqlMetadata.java,2,2,3,1,11,0,10,0,6,3,8,57,55,54,10,57,1,2,0,54,817,96,672,154,395,61,321,471,145,355,14,14,30,14,4,0.09,158,143,178,87
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/CqlPreparedResult.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/CqlPreparedResult.java,2,2,2,1,10,0,9,0,6,3,10,59,57,56,12,59,1,2,0,56,821,98,671,156,396,64,322,474,149,350,15,14,26,14,4,0.1,162,147,176,89
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/CqlResult.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/CqlResult.java,2,2,3,1,10,0,9,0,6,3,9,56,54,53,12,56,1,2,0,53,807,95,646,146,387,78,302,455,137,346,14,14,30,14,4,0.12,162,147,182,86
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/CqlResultType.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/CqlResultType.java,1,1,1,1,5,0,3,1,1,1,0,5,3,4,4,5,0,1,0,4,69,8,28,12,11,33,12,16,9,7,4,2,4,1,1,1.18,8,6,8,5
File,Cassandra,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/CqlRow.java,cassandra/interface/thrift/gen-java/org/apache/cassandra/thrift/CqlRow.java,2,2,2,1,8,0,7,0,6,3,6,48,46,45,6,48,1,2,0,45,584,79,450,122,241,61,208,313,114,217,8,8,16,8,4,0.14,107,102,117,66
