File Path,Language,Project,Avg Max Depth,Avg Depth,Avg Try SLOC,Avg Try LOC,Try SLOC,Try LOC,# Handled with Nested Try,# Handled with Log,# Handled with Abort,# Handled with Default,# Handled with Method,# Handled with Throw with New,# Handled with Throw Wrap,# Handled with Return,# Handled with Continue,# Handled with Empty,# Handled with ToDo,# Handled with Throw without New,% Handled with Nested Try,% Handled with Log,% Handled with Abort,% Handled with Default,% Handled with Method,% Handled with Throw with New,% Handled with Throw Wrap,% Handled with Return,% Handled with Continue,% Handled with Empty,% Handled with ToDo,% Handled with Throw without New,# Possible Exceptions,# Propagated and Potentially Recoverable,% Doc in Comment,% External Doc,# Propagated,Avg # Declaring Methods,Avg # Invoked Method,% Subsumption,% Specific,% Throw Statement,% Method Declaration,Sum of Num Distinct Methods,Num Distinct Methods,# Try in Conditional,# Try in Declaration,# Try in EH Feature,# Try in Loop,# Try in Other,# Try,% Try in Conditional,% Try in Declaration,% Try in EH Feature,% Try in Loop,% Try in Other,% Propagated and Potentially Recoverable,% Propagated,Avg Exc Type Prevalence
cassandra/src/java/org/apache/cassandra/config/DatabaseDescriptor.java,Java,Cassandra,3.911392405,1.043037975,1,3,6,18,0,0,0,0,1,0,0,0,0,0,0,1,0.060487936,0,0,0,0,0.225663611,0,0,0,0,0,0,26.33333333,1,0,0,1.253164557,1.166666667,1.5,0.130821504,0.102096342,0.102096342,0.102096342,9,1.5,2,1,0,5,0,8,0.25,0.125,0,0.625,0,0.166666667,0,998.9774892
cassandra/src/java/org/apache/cassandra/streaming/StreamReader.java,Java,Cassandra,12.13333333,3.235555556,2.625,5.458333333,63,131,0,0.041666667,0,0,0.333333333,0.791666667,0.75,0.083333333,0,0.041666667,0,0.208333333,0.440217757,0,0.012905702,0,0,0.075221204,0.205029765,0.183251724,0.074768355,0,0.095730447,0,5,1.166666667,0.159744409,0,0.933333333,1,1,0.097433389,0.08751115,0.08751115,0.08751115,61,2.541666667,1,2,1,1,0,5,0.2,0.4,0.2,0.2,0,0,0.52631579,842.7619048
cassandra/src/java/org/apache/cassandra/streaming/compress/CompressedStreamReader.java,Java,Cassandra,12.85714286,3.428571429,8,18,16,36,0,0,0,0,0.5,1,1.5,0,0,0,0,0,0.120975872,0,0,0,0,0.112831806,0.258984966,0.366503448,0,0,0,0,4.666666667,1,0.159744409,0,1,1,1,0.104392917,0.08751115,0.08751115,0.08751115,16,8,0,0,0,1,0,1,0,0,0,1,0,0,0.078947368,1187
cassandra/src/java/org/apache/cassandra/hints/HintsCatalog.java,Java,Cassandra,12.66666667,3.377777778,2,4,2,4,0,1,0,0,1,0,0,0,0,0,0,1,0.013441764,0,0.309736852,0,0,0.225663611,0,0,0,0,0,0,2,1,0,0,2.333333333,1,1,0.243583473,0.08751115,0.08751115,0.08751115,2,2,0,1,1,0,0,2,0,0.5,0.5,0,0,0,0.26060606,995.2047619
cassandra/src/java/org/apache/cassandra/hints/LegacyHintsMigrator.java,Java,Cassandra,12.33333333,3.288888889,1,3,2,6,0,0,0,0,0,1,1,0,0,0,0,0,0.020162645,0,0,0,0,0,0.258984966,0.244335632,0,0,0,0,6,1,0.159744409,0,1.888888889,1.5,1.5,0.197186621,0.131266725,0.131266725,0.131266725,3,1.5,0,3,0,0,0,3,0,1,0,0,0,0,0.2,511.6666667
cassandra/src/java/org/apache/cassandra/hints/HintsWriteExecutor.java,Java,Cassandra,11.625,3.1,2,5.5,4,11,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0.5,0.03696485,0,0,0,0,0.112831806,0.129492483,0.122167816,0,0,0,0,5.333333333,1,0.079872204,0,2,1,1,0.208785834,0.08751115,0.08751115,0.08751115,3,1.5,0,1,0,0,0,1,0,1,0,0,0,0,0,491.25
cassandra/src/java/org/apache/cassandra/tools/SSTableOfflineRelevel.java,Java,Cassandra,15.11111111,4.02962963,1.666666667,4.166666667,10,25,0,0,0,0,0.333333333,0.666666667,0.666666667,0,0,0,0,0.333333333,0.084011022,0,0,0,0,0.075221204,0.172656644,0.162890421,0,0,0,0,3,0.833333333,0.119808307,0.157480315,1,1.142857143,1.142857143,0.104392917,0.100012743,0.100012743,0.100012743,11,1.833333333,0,1,0,0,0,1,0,1,0,0,0,0,0.106060606,1699.681818
cassandra/src/java/org/apache/cassandra/tools/SSTableExpiredBlockers.java,Java,Cassandra,15.11111111,4.02962963,5,8.5,10,17,0,0,0,0,0,1,1,0,0,0,0,0,0.057127495,0,0,0,0,0,0.258984966,0.244335632,0,0,0,0,3,1,0.119808307,0,1,1.125,0.983333333,0.104392917,0.098450044,0.098450044,0.098450044,9,4.5,0,12,0,0,0,12,0,1,0,0,0,0,0,1140.945238
cassandra/src/java/org/apache/cassandra/tools/SSTableExport.java,Java,Cassandra,10.78571429,2.876190476,1.333333333,3.333333333,8,20,0,0,0,0,0.166666667,0.833333333,0.833333333,0,0,0,0,0.166666667,0.067208818,0,0,0,0,0.037610602,0.215820805,0.203613026,0,0,0,0,4.666666667,1,0.119808307,0.052493438,1.785714286,1.5,1.5,0.186415923,0.131266725,0.131266725,0.131266725,13,2.166666667,0,8,0,0,0,8,0,1,0,0,0,0,0,620.039003
cassandra/src/java/org/apache/cassandra/db/commitlog/AbstractCommitLogService.java,Java,Cassandra,10.57142857,2.819047619,2.25,6,18,48,0,0.125,0,0,1,1,1,0,0,0,0,0,0.161301163,0,0.038717106,0,0,0.225663611,0.258984966,0.244335632,0,0,0,0,2.333333333,0.25,0,0,1,1.25,1.5,0.104392917,0.109388938,0.109388938,0.109388938,18,2.25,0,6,0,0,0,6,0,1,0,0,0,0,0.111111111,1713.555556
