id,TryStartLine,TryEndLine,TryLOC,CatchStartLine,CatchEndLine,CatchLOC,CatchStart,CatchLength,MethodStartLine,MethodEndLine,MethodLOC,Kind,IsBindingInfo,IsDocSemantic,IsDocSyntax,IsThrow,HandlerTypeCode,LevelFound,ThrownType,CaughtType,DeclaringMethod,InvokedMethod,InvokedMethodLine,FilePath,StartLine
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,"java.lang.IllegalStateException","java.lang.Throwable","Lio/debezium/data/C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-core\src\main\java\io\debezium\data\Envelope~Envelope$6937;.build()Lio/debezium/data/Envelope;","Lio/debezium/connector/mysql/legacy/C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-mysql\src\main\java\io\debezium\connector\mysql\legacy\SnapshotReader~SnapshotReader;.readTableSchema(Ljava/util/concurrent/atomic/AtomicReference<Ljava/lang/String;>;Lio/debezium/jdbc/JdbcConnection;Lio/debezium/connector/mysql/legacy/MySqlSchema;Lio/debezium/connector/mysql/legacy/SourceInfo;Ljava/lang/String;Lio/debezium/relational/TableId;)V|Ljava/sql/SQLException;",542,"C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-mysql\src\main\java\io\debezium\connector\mysql\legacy\SnapshotReader.java",848
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,"java.lang.IllegalStateException","java.lang.Throwable","Lio/debezium/data/C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-core\src\main\java\io\debezium\data\Envelope~Envelope$6937;.build()Lio/debezium/data/Envelope;","Lio/debezium/connector/mysql/legacy/C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-mysql\src\main\java\io\debezium\connector\mysql\legacy\MySqlSchema~MySqlSchema;.applyDdl(Lio/debezium/connector/mysql/legacy/SourceInfo;Ljava/lang/String;Ljava/lang/String;Lio/debezium/relational/ddl/DdlChanges$DatabaseStatementStringConsumer;)Z",532,"C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-mysql\src\main\java\io\debezium\connector\mysql\legacy\SnapshotReader.java",848
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"java.lang.IllegalStateException","java.lang.Throwable","Lio/debezium/connector/mysql/legacy/C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-mysql\src\main\java\io\debezium\connector\mysql\legacy\SnapshotReader~SnapshotReader;.readBinlogPosition(ILio/debezium/connector/mysql/legacy/SourceInfo;Lio/debezium/jdbc/JdbcConnection;Ljava/util/concurrent/atomic/AtomicReference<Ljava/lang/String;>;)V|Ljava/sql/SQLException;","Lio/debezium/connector/mysql/legacy/C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-mysql\src\main\java\io\debezium\connector\mysql\legacy\SnapshotReader~SnapshotReader;.readBinlogPosition(ILio/debezium/connector/mysql/legacy/SourceInfo;Lio/debezium/jdbc/JdbcConnection;Ljava/util/concurrent/atomic/AtomicReference<Ljava/lang/String;>;)V|Ljava/sql/SQLException;",484,"C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-mysql\src\main\java\io\debezium\connector\mysql\legacy\SnapshotReader.java",848
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,"java.lang.IllegalStateException","java.lang.Throwable","Lio/debezium/data/C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-core\src\main\java\io\debezium\data\Envelope~Envelope$6937;.build()Lio/debezium/data/Envelope;","Lio/debezium/connector/mysql/legacy/C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-mysql\src\main\java\io\debezium\connector\mysql\legacy\MySqlSchema~MySqlSchema;.applyDdl(Lio/debezium/connector/mysql/legacy/SourceInfo;Ljava/lang/String;Ljava/lang/String;Lio/debezium/relational/ddl/DdlChanges$DatabaseStatementStringConsumer;)Z",530,"C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-mysql\src\main\java\io\debezium\connector\mysql\legacy\SnapshotReader.java",848
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,"java.lang.IllegalStateException","java.lang.Throwable","Lio/debezium/data/C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-core\src\main\java\io\debezium\data\Envelope~Envelope$6937;.build()Lio/debezium/data/Envelope;","Lio/debezium/connector/mysql/legacy/C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-mysql\src\main\java\io\debezium\connector\mysql\legacy\MySqlSchema~MySqlSchema;.applyDdl(Lio/debezium/connector/mysql/legacy/SourceInfo;Ljava/lang/String;Ljava/lang/String;Lio/debezium/relational/ddl/DdlChanges$DatabaseStatementStringConsumer;)Z",503,"C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-mysql\src\main\java\io\debezium\connector\mysql\legacy\SnapshotReader.java",848
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,"java.lang.IllegalStateException","java.lang.Throwable","Lio/debezium/data/C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-core\src\main\java\io\debezium\data\Envelope~Envelope$6937;.build()Lio/debezium/data/Envelope;","Lio/debezium/connector/mysql/legacy/C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-mysql\src\main\java\io\debezium\connector\mysql\legacy\SnapshotReader~SnapshotReader;.readTableSchema(Ljava/util/concurrent/atomic/AtomicReference<Ljava/lang/String;>;Lio/debezium/jdbc/JdbcConnection;Lio/debezium/connector/mysql/legacy/MySqlSchema;Lio/debezium/connector/mysql/legacy/SourceInfo;Ljava/lang/String;Lio/debezium/relational/TableId;)V|Ljava/sql/SQLException;",804,"C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-mysql\src\main\java\io\debezium\connector\mysql\legacy\SnapshotReader.java",848
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"java.lang.IllegalStateException","java.lang.Throwable","Lio/debezium/connector/mysql/legacy/C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-mysql\src\main\java\io\debezium\connector\mysql\legacy\SnapshotReader~SnapshotReader;.readBinlogPosition(ILio/debezium/connector/mysql/legacy/SourceInfo;Lio/debezium/jdbc/JdbcConnection;Ljava/util/concurrent/atomic/AtomicReference<Ljava/lang/String;>;)V|Ljava/sql/SQLException;","Lio/debezium/connector/mysql/legacy/C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-mysql\src\main\java\io\debezium\connector\mysql\legacy\SnapshotReader~SnapshotReader;.readBinlogPosition(ILio/debezium/connector/mysql/legacy/SourceInfo;Lio/debezium/jdbc/JdbcConnection;Ljava/util/concurrent/atomic/AtomicReference<Ljava/lang/String;>;)V|Ljava/sql/SQLException;",360,"C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-mysql\src\main\java\io\debezium\connector\mysql\legacy\SnapshotReader.java",848
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,"java.lang.IllegalStateException","java.lang.Throwable","Lio/debezium/data/C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-core\src\main\java\io\debezium\data\Envelope~Envelope$6937;.build()Lio/debezium/data/Envelope;","Lio/debezium/connector/mysql/legacy/C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-mysql\src\main\java\io\debezium\connector\mysql\legacy\MySqlSchema~MySqlSchema;.applyDdl(Lio/debezium/connector/mysql/legacy/SourceInfo;Ljava/lang/String;Ljava/lang/String;Lio/debezium/relational/ddl/DdlChanges$DatabaseStatementStringConsumer;)Z",523,"C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-mysql\src\main\java\io\debezium\connector\mysql\legacy\SnapshotReader.java",848
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,"java.lang.IllegalStateException","java.lang.Throwable","Lio/debezium/data/C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-core\src\main\java\io\debezium\data\Envelope~Envelope$6937;.build()Lio/debezium/data/Envelope;","Lio/debezium/connector/mysql/legacy/C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-mysql\src\main\java\io\debezium\connector\mysql\legacy\MySqlSchema~MySqlSchema;.applyDdl(Lio/debezium/connector/mysql/legacy/SourceInfo;Ljava/lang/String;Ljava/lang/String;Lio/debezium/relational/ddl/DdlChanges$DatabaseStatementStringConsumer;)Z",511,"C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-mysql\src\main\java\io\debezium\connector\mysql\legacy\SnapshotReader.java",848
20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,6,"java.lang.IllegalStateException","java.lang.Throwable","Lio/debezium/text/C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-core\src\main\java\io\debezium\text\TokenStream~TokenStream;.hasNext()Z","Lio/debezium/relational/C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-core\src\main\java\io\debezium\relational\RelationalDatabaseConnectorConfig~RelationalDatabaseConnectorConfig;.getSnapshotSelectOverridesByTable()Ljava/util/Map<Lio/debezium/relational/TableId;Ljava/lang/String;>;",651,"C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-mysql\src\main\java\io\debezium\connector\mysql\legacy\SnapshotReader.java",848
