id,TryStartLine,TryEndLine,TryLOC,CatchStartLine,CatchEndLine,CatchLOC,CatchStart,CatchLength,MethodStartLine,MethodEndLine,MethodLOC,Binded,RecoveredBinding,Kind,Checked,ParentNodeType,RecoverFlag,InnerCatch,ParentTryStartLine,Logged,MultiLog,Abort,Default,GetCause,OtherInvocation,NumThrown,NumThrowNew,NumThrowWrapCurrentException,Return,Continue,EmptyBlock,CatchException,FinallyThrowing,NumDistinctMethods,NumMethodsNotBinded,NumDistinctExceptions,NumSpecificHandler,NumSubsumptionHandler,NumSupersumptionHandler,NumOtherHandler,MaxLevel,NumIsBindingInfo,NumIsDocSemantic,NumIsDocSyntax,NumIsThrow,ToDo,ExceptionType,ParentMethod,ParentType,FilePath,StartLine
187,120,125,3,125,128,1,5232,112,118,139,18,1,0,3,1,25,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,"java.lang.Throwable","stop()","io.debezium.connector.mysql.legacy.ParallelSnapshotReader","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-mysql\src\main\java\io\debezium\connector\mysql\legacy\ParallelSnapshotReader.java",125
188,129,134,3,134,137,1,5581,112,118,139,18,1,0,3,1,25,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,"java.lang.Throwable","stop()","io.debezium.connector.mysql.legacy.ParallelSnapshotReader","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-mysql\src\main\java\io\debezium\connector\mysql\legacy\ParallelSnapshotReader.java",134
189,104,109,3,109,112,1,3732,114,102,114,10,1,0,3,1,25,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,"java.lang.Throwable","stop()","io.debezium.connector.mysql.legacy.ReconcilingBinlogReader","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-mysql\src\main\java\io\debezium\connector\mysql\legacy\ReconcilingBinlogReader.java",109
190,264,848,397,848,866,16,45664,715,242,875,443,1,0,3,1,31,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,145,0,33,0,90,0,0,259,17,0,11,17,0,"java.lang.Throwable","execute()","io.debezium.connector.mysql.legacy.SnapshotReader","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-mysql\src\main\java\io\debezium\connector\mysql\legacy\SnapshotReader.java",848
191,898,920,17,936,940,1,47765,277,794,954,116,1,0,3,1,25,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,11,0,4,0,4,0,0,5,3,0,1,2,0,"java.lang.Throwable","execute(ChangeEventSourceContext)","io.debezium.connector.mysql.MySqlStreamingChangeEventSource","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-mysql\src\main\java\io\debezium\connector\mysql\MySqlStreamingChangeEventSource.java",936
192,74,77,1,77,80,1,2090,45,73,87,12,1,0,3,1,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,2,1,0,1,0,0,"java.lang.Throwable","record(long,int,String,Tables)","io.debezium.relational.history.AbstractDatabaseHistoryTest","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-mysql\src\test\java\io\debezium\relational\history\AbstractDatabaseHistoryTest.java",77
193,114,202,57,202,206,2,10882,172,112,217,72,1,0,3,1,54,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,55,0,27,0,35,0,0,51,19,0,11,9,0,"java.lang.Throwable","execute(ChangeEventSourceContext)","io.debezium.connector.oracle.logminer.LogMinerStreamingChangeEventSource","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-oracle\src\main\java\io\debezium\connector\oracle\logminer\LogMinerStreamingChangeEventSource.java",202
194,82,131,34,131,134,1,6235,91,81,135,39,1,0,3,1,31,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,19,0,8,0,18,0,0,12,3,0,3,5,0,"java.lang.Throwable","parse(String,Tables,TableId,String)","io.debezium.connector.oracle.logminer.parser.SimpleDmlParser","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-oracle\src\main\java\io\debezium\connector\oracle\logminer\parser\SimpleDmlParser.java",131
195,76,91,7,91,94,1,4089,61,75,108,24,1,0,3,1,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,3,2,0,2,0,0,6,1,0,1,2,0,"java.lang.Throwable","execute(ChangeEventSourceContext)","io.debezium.connector.oracle.xstream.XstreamStreamingChangeEventSource","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-oracle\src\main\java\io\debezium\connector\oracle\xstream\XstreamStreamingChangeEventSource.java",91
196,596,600,2,600,603,1,28108,94,595,613,15,1,0,3,1,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,"java.lang.Throwable","close(boolean)","io.debezium.connector.postgresql.connection.PostgresReplicationConnection","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-connector-postgres\src\main\java\io\debezium\connector\postgresql\connection\PostgresReplicationConnection.java",600
