id,TryStartLine,TryEndLine,TryLOC,CatchStartLine,CatchEndLine,CatchLOC,CatchStart,CatchLength,MethodStartLine,MethodEndLine,MethodLOC,Binded,RecoveredBinding,Kind,Line,LOC,Start,Length,NumExceptions,ThrowsException,ThrowsKitchenSink,ExceptionType,FilePath,StartLine
23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,125,19,4019,605,2,0,1,"org.springframework.http.converter.HttpMessageNotWritableException","C:\Users\pavan\Downloads\spring-framework-master\spring-web\src\main\java\org\springframework\http\converter\ResourceRegionHttpMessageConverter.java",125
24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,80,15,3014,457,2,0,1,"org.springframework.http.converter.HttpMessageNotWritableException","C:\Users\pavan\Downloads\spring-framework-master\spring-web\src\main\java\org\springframework\http\converter\xml\AbstractXmlHttpMessageConverter.java",80
25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,235,7,8155,226,2,0,1,"org.springframework.http.converter.HttpMessageNotWritableException","C:\Users\pavan\Downloads\spring-framework-master\spring-web\src\main\java\org\springframework\http\converter\xml\Jaxb2CollectionHttpMessageConverter.java",235
26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,256,12,8937,379,2,0,1,"org.springframework.http.converter.HttpMessageNotWritableException","C:\Users\pavan\Downloads\spring-framework-master\spring-web\src\main\java\org\springframework\http\converter\xml\SourceHttpMessageConverter.java",256
27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,96,6,3254,185,2,0,1,"org.springframework.http.converter.HttpMessageNotWritableException","C:\Users\pavan\Downloads\spring-framework-master\spring-web\src\test\java\org\springframework\http\converter\HttpMessageConverterTests.java",96
28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,141,12,5649,639,3,0,1,"org.springframework.http.converter.HttpMessageNotWritableException","C:\Users\pavan\Downloads\spring-framework-master\spring-webmvc\src\main\java\org\springframework\web\servlet\mvc\method\annotation\AbstractMessageConverterMethodProcessor.java",141
29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,153,166,6291,6448,3,0,1,"org.springframework.http.converter.HttpMessageNotWritableException","C:\Users\pavan\Downloads\spring-framework-master\spring-webmvc\src\main\java\org\springframework\web\servlet\mvc\method\annotation\AbstractMessageConverterMethodProcessor.java",153
30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,171,13,7082,617,3,0,1,"org.springframework.http.converter.HttpMessageNotWritableException","C:\Users\pavan\Downloads\spring-framework-master\spring-webmvc\src\main\java\org\springframework\web\servlet\mvc\method\annotation\RequestResponseBodyMethodProcessor.java",171
31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3197,7,132860,278,2,0,1,"org.springframework.http.converter.HttpMessageNotWritableException","C:\Users\pavan\Downloads\spring-framework-master\spring-webmvc\src\test\java\org\springframework\web\servlet\mvc\method\annotation\ServletAnnotationControllerHandlerMethodTests.java",3197
32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100,13,3283,409,2,0,1,"org.springframework.beans.factory.BeanInitializationException","C:\Users\pavan\Downloads\spring-framework-master\spring-jms\src\main\java\org\springframework\jms\core\support\JmsGatewaySupport.java",100
33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,41,14,1354,382,2,0,1,"org.springframework.beans.factory.BeanInitializationException","C:\Users\pavan\Downloads\spring-framework-master\spring-tx\src\main\java\org\springframework\dao\support\DaoSupport.java",41
34,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,205,61,6913,1818,1,0,0,"org.springframework.cache.ehcache.CacheException","C:\Users\pavan\Downloads\spring-framework-master\spring-context-support\src\main\java\org\springframework\cache\ehcache\EhCacheFactoryBean.java",205
35,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,131,39,5153,1435,1,0,0,"org.springframework.cache.ehcache.CacheException","C:\Users\pavan\Downloads\spring-framework-master\spring-context-support\src\main\java\org\springframework\cache\ehcache\EhCacheManagerFactoryBean.java",131
36,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,45,12,1586,613,1,0,0,"org.springframework.cache.ehcache.CacheException","C:\Users\pavan\Downloads\spring-framework-master\spring-context-support\src\main\java\org\springframework\cache\ehcache\EhCacheManagerUtils.java",45
37,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,57,15,2202,756,1,0,0,"org.springframework.cache.ehcache.CacheException","C:\Users\pavan\Downloads\spring-framework-master\spring-context-support\src\main\java\org\springframework\cache\ehcache\EhCacheManagerUtils.java",57
38,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,72,10,2961,447,1,0,0,"org.springframework.cache.ehcache.CacheException","C:\Users\pavan\Downloads\spring-framework-master\spring-context-support\src\main\java\org\springframework\cache\ehcache\EhCacheManagerUtils.java",72
39,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,82,13,3411,592,1,0,0,"org.springframework.cache.ehcache.CacheException","C:\Users\pavan\Downloads\spring-framework-master\spring-context-support\src\main\java\org\springframework\cache\ehcache\EhCacheManagerUtils.java",82
40,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,95,30,4006,895,1,0,0,"org.springframework.cache.ehcache.CacheException","C:\Users\pavan\Downloads\spring-framework-master\spring-context-support\src\main\java\org\springframework\cache\ehcache\EhCacheManagerUtils.java",95
41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,77,5,3027,130,1,0,0,"org.springframework.transaction.TransactionSystemException","C:\Users\pavan\Downloads\spring-framework-master\spring-tx\src\main\java\org\springframework\transaction\config\JtaTransactionManagerFactoryBean.java",77
42,0,0,0,0,0,0,0,0,0,0,0,1,0,0,441,11,19296,359,1,0,0,"org.springframework.transaction.TransactionSystemException","C:\Users\pavan\Downloads\spring-framework-master\spring-tx\src\main\java\org\springframework\transaction\jta\JtaTransactionManager.java",441
43,0,0,0,0,0,0,0,0,0,0,0,1,0,0,452,41,19658,1661,1,0,0,"org.springframework.transaction.TransactionSystemException","C:\Users\pavan\Downloads\spring-framework-master\spring-tx\src\main\java\org\springframework\transaction\jta\JtaTransactionManager.java",452
44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,567,24,24289,1007,1,0,0,"org.springframework.transaction.TransactionSystemException","C:\Users\pavan\Downloads\spring-framework-master\spring-tx\src\main\java\org\springframework\transaction\jta\JtaTransactionManager.java",567
45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,591,24,25299,1052,1,0,0,"org.springframework.transaction.TransactionSystemException","C:\Users\pavan\Downloads\spring-framework-master\spring-tx\src\main\java\org\springframework\transaction\jta\JtaTransactionManager.java",591
46,0,0,0,0,0,0,0,0,0,0,0,1,0,0,615,23,26354,1062,1,0,0,"org.springframework.transaction.TransactionSystemException","C:\Users\pavan\Downloads\spring-framework-master\spring-tx\src\main\java\org\springframework\transaction\jta\JtaTransactionManager.java",615
47,0,0,0,0,0,0,0,0,0,0,0,1,0,0,638,14,27419,552,1,0,0,"org.springframework.transaction.TransactionSystemException","C:\Users\pavan\Downloads\spring-framework-master\spring-tx\src\main\java\org\springframework\transaction\jta\JtaTransactionManager.java",638
48,0,0,0,0,0,0,0,0,0,0,0,1,0,0,652,14,27974,576,1,0,0,"org.springframework.transaction.TransactionSystemException","C:\Users\pavan\Downloads\spring-framework-master\spring-tx\src\main\java\org\springframework\transaction\jta\JtaTransactionManager.java",652
49,0,0,0,0,0,0,0,0,0,0,0,1,0,0,666,13,28553,502,1,0,0,"org.springframework.transaction.TransactionSystemException","C:\Users\pavan\Downloads\spring-framework-master\spring-tx\src\main\java\org\springframework\transaction\jta\JtaTransactionManager.java",666
50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,741,43,31162,1904,1,0,0,"org.springframework.transaction.TransactionSystemException","C:\Users\pavan\Downloads\spring-framework-master\spring-tx\src\main\java\org\springframework\transaction\jta\JtaTransactionManager.java",741
51,0,0,0,0,0,0,0,0,0,0,0,1,0,0,110,6,4582,148,1,0,0,"org.springframework.transaction.TransactionSystemException","C:\Users\pavan\Downloads\spring-framework-master\spring-tx\src\main\java\org\springframework\transaction\jta\WebLogicJtaTransactionManager.java",110
52,0,0,0,0,0,0,0,0,0,0,0,1,0,0,116,19,4733,772,1,0,0,"org.springframework.transaction.TransactionSystemException","C:\Users\pavan\Downloads\spring-framework-master\spring-tx\src\main\java\org\springframework\transaction\jta\WebLogicJtaTransactionManager.java",116
53,0,0,0,0,0,0,0,0,0,0,0,1,0,0,135,19,5508,799,1,0,0,"org.springframework.transaction.TransactionSystemException","C:\Users\pavan\Downloads\spring-framework-master\spring-tx\src\main\java\org\springframework\transaction\jta\WebLogicJtaTransactionManager.java",135
54,0,0,0,0,0,0,0,0,0,0,0,1,0,0,154,23,6310,918,1,0,0,"org.springframework.transaction.TransactionSystemException","C:\Users\pavan\Downloads\spring-framework-master\spring-tx\src\main\java\org\springframework\transaction\jta\WebLogicJtaTransactionManager.java",154
55,0,0,0,0,0,0,0,0,0,0,0,1,0,0,177,36,7231,1738,1,0,0,"org.springframework.transaction.TransactionSystemException","C:\Users\pavan\Downloads\spring-framework-master\spring-tx\src\main\java\org\springframework\transaction\jta\WebLogicJtaTransactionManager.java",177
56,0,0,0,0,0,0,0,0,0,0,0,1,0,0,145,15,5980,388,1,0,0,"org.springframework.transaction.TransactionSystemException","C:\Users\pavan\Downloads\spring-framework-master\spring-tx\src\main\java\org\springframework\transaction\jta\WebSphereUowTransactionManager.java",145
57,0,0,0,0,0,0,0,0,0,0,0,1,0,0,160,21,6371,777,1,0,0,"org.springframework.transaction.TransactionSystemException","C:\Users\pavan\Downloads\spring-framework-master\spring-tx\src\main\java\org\springframework\transaction\jta\WebSphereUowTransactionManager.java",160
58,0,0,0,0,0,0,0,0,0,0,0,1,0,0,181,19,7151,777,1,0,0,"org.springframework.transaction.TransactionSystemException","C:\Users\pavan\Downloads\spring-framework-master\spring-tx\src\main\java\org\springframework\transaction\jta\WebSphereUowTransactionManager.java",181
59,0,0,0,0,0,0,0,0,0,0,0,1,0,1,169,41,5172,1703,2,0,1,"java.lang.NoSuchFieldException","C:\Users\pavan\Downloads\spring-framework-master\spring-beans\src\main\java\org\springframework\beans\factory\config\FieldRetrievingFactoryBean.java",169
60,0,0,0,0,0,0,0,0,0,0,0,1,0,1,201,7,8700,305,1,0,0,"java.lang.NoSuchFieldException","C:\Users\pavan\Downloads\spring-framework-master\spring-core\src\test\java\org\springframework\core\convert\support\CollectionToCollectionConverterTests.java",201
61,0,0,0,0,0,0,0,0,0,0,0,1,0,1,57,18,1991,876,1,0,0,"java.lang.NoSuchFieldException","C:\Users\pavan\Downloads\spring-framework-master\spring-core\src\test\java\org\springframework\core\convert\support\StreamConverterTests.java",57
62,0,0,0,0,0,0,0,0,0,0,0,1,0,1,75,16,2870,816,1,0,0,"java.lang.NoSuchFieldException","C:\Users\pavan\Downloads\spring-framework-master\spring-core\src\test\java\org\springframework\core\convert\support\StreamConverterTests.java",75
63,0,0,0,0,0,0,0,0,0,0,0,1,0,1,91,17,3689,769,1,0,0,"java.lang.NoSuchFieldException","C:\Users\pavan\Downloads\spring-framework-master\spring-core\src\test\java\org\springframework\core\convert\support\StreamConverterTests.java",91
64,0,0,0,0,0,0,0,0,0,0,0,1,0,1,108,9,4461,427,1,0,0,"java.lang.NoSuchFieldException","C:\Users\pavan\Downloads\spring-framework-master\spring-core\src\test\java\org\springframework\core\convert\support\StreamConverterTests.java",108
